service,servicename,op1,op2,op3,op4,details,date,time,firstname,lastname,email,phone
bus,Bus,1,1,1,"Vancouver, 1st and Main",Some test details to fill out some space. This comment takes up 76 characters.,20190327,12:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
skytrain,SkyTrain,Expo Line,King George,,101,Some test details to fill out some space. This comment takes up 76 characters.,20190326,01:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
seabus,SeaBus,,,,,Some test details to fill out some space. This comment takes up 76 characters.,20190325,11:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
wce,West Coast Express,Mission City,,,201,Some test details to fill out some space. This comment takes up 76 characters.,20190324,02:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
handydart,HandyDART,301,,,"Burnaby, Canada Way and Burris Street",Some test details to fill out some space. This comment takes up 76 characters.,20190323,10:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
handytaxi,HandyDART Taxi,401,Big Yellow,411,"Richmond, Granville and St Albans",Some test details to fill out some space. This comment takes up 76 characters.,20190322,03:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
webtech,Web/Technical,Trip Planner,tripplanning.qa.translink.ca/#/app/tripplanner,Windows 10,Chrome,Some test details to fill out some space. This comment takes up 76 characters.,20190321,09:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
lostproperty,Lost Property,Bus,501,511,,Some test details to fill out some space. This comment takes up 76 characters.,20190327,04:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
other,Other,,,,,Some test details to fill out some space. This comment takes up 76 characters.,20190326,08:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
bus,Bus,2,2,2,"Surrey, 104 Ave and 140 Street",Some test details to fill out some space. This comment takes up 76 characters.,20190325,05:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
skytrain,SkyTrain,Millenium Line,Lafarge Lake-Douglas,,102,Some test details to fill out some space. This comment takes up 76 characters.,20190324,07:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
seabus,SeaBus,,,,,Some test details to fill out some space. This comment takes up 76 characters.,20190323,06:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
wce,West Coast Express,Waterfront,,,202,Some test details to fill out some space. This comment takes up 76 characters.,20190322,06:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
handydart,HandyDART,302,,,"Coquitlam, Guildford Way and Pinetree Way",Some test details to fill out some space. This comment takes up 76 characters.,20190321,07:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
handytaxi,HandyDART Taxi,402,Big Yellow,412,"North Vancouver, 17th and Lonsdale",Some test details to fill out some space. This comment takes up 76 characters.,20190327,05:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
webtech,Web/Technical,Translink,www.translink.ca,MacOS,Safari,Some test details to fill out some space. This comment takes up 76 characters.,20190326,08:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
lostproperty,Lost Property,Expo/Millenium Line,,,,Some test details to fill out some space. This comment takes up 76 characters.,20190325,04:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
other,Other,,,,,Some test details to fill out some space. This comment takes up 76 characters.,20190324,09:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
bus,Bus,3,3,3,"Vancouver, 1st and Main",Some test details to fill out some space. This comment takes up 76 characters.,20190323,03:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
skytrain,SkyTrain,Canada Line,Richmond-Brighouse,,103,Some test details to fill out some space. This comment takes up 76 characters.,20190322,10:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
seabus,SeaBus,,,,,Some test details to fill out some space. This comment takes up 76 characters.,20190321,02:00 AM,Testfirst,Testlast,t@test.com,(506) 455-7725
wce,West Coast Express,Don't Know,,,203,Some test details to fill out some space. This comment takes up 76 characters.,20190327,11:00 PM,Testfirst,Testlast,t@test.com,(506) 455-7725
